KPI,Data Type,Description,Granularity,Calculation,Source Table/Sheet,Non Clinical access,Admin Access,Manager Access,Department Name,Department Description(optional)
date,object,Date of metric recording,Daily,Direct from ED logs,emergency_department_metrics,0,0,1,emergency_department_metrics,
department_id,object,Unique identifier for emergency department,Department-level,Direct from hospital system,emergency_department_metrics,0,0,1,emergency_department_metrics,
patient_arrival_count_monthly,int64,Total number of patient arrivals in the month,Monthly,Sum of patient arrivals for the month,emergency_department_metrics,1,0,1,emergency_department_metrics,
patient_arrival_count_daily,object,Daily count of patient arrivals (JSON format),Daily (nested),"Aggregated from daily patient logs, may include fractional values due to smoothing or averaging",emergency_department_metrics,1,0,1,emergency_department_metrics,
avg_waiting_time_minutes_monthly,float64,Average waiting time (arrival to first treatment) in minutes (monthly),Monthly,Average wait time per month,emergency_department_metrics,0,0,1,emergency_department_metrics,
avg_waiting_time_minutes_daily,object,Daily average waiting times (JSON format),Daily (nested),Aggregated daily averages from ED system,emergency_department_metrics,0,0,1,emergency_department_metrics,
door_to_doctor_time_minutes,float64,Average time from door to doctor in minutes,Monthly,Mean time from ED entry to first doctor seen,emergency_department_metrics,0,0,1,emergency_department_metrics,
avg_length_of_stay_minutes_monthly,float64,Average length of stay in ED (monthly),Monthly,Mean time spent by patients in ED,emergency_department_metrics,0,1,1,emergency_department_metrics,
avg_length_of_stay_minutes_daily,object,Daily length of stay in ED (JSON format),Daily (nested),"Aggregated daily stay durations, may include fractional values due to smoothing or averaging",emergency_department_metrics,0,1,1,emergency_department_metrics,
lwbs_rate,float64,Left Without Being Seen (LWBS) rate (%),Monthly,(# Left Without Being Seen / Total ED Patients) * 100,emergency_department_metrics,0,0,1,emergency_department_metrics,
admission_rate,float64,Percentage of ED patients admitted to inpatient,Monthly,(# Admitted from ED / Total ED Patients) * 100,emergency_department_metrics,0,0,1,emergency_department_metrics,
acuity_level_distribution,object,Distribution of patient acuity levels (JSON format),Monthly,Proportions of patients by acuity level (Level 1â€“5),emergency_department_metrics,0,0,1,emergency_department_metrics,
time_to_pain_management_min,float64,Time to first pain management (in minutes),Monthly,Mean time to administer pain medication,emergency_department_metrics,0,0,1,emergency_department_metrics,
time_to_ecg_min,float64,Time to first ECG (in minutes),Monthly,Mean time to first ECG post-arrival,emergency_department_metrics,0,0,1,emergency_department_metrics,
repeat_ed_visits_rate,float64,Rate of repeat visits to ED (%),Monthly,(# Repeat Visits / Total Visits) * 100,emergency_department_metrics,0,0,1,emergency_department_metrics,
patient_satisfaction_score,float64,Patient satisfaction score (scale of 1â€“5),Monthly,Average satisfaction score from surveys,emergency_department_metrics,0,1,1,emergency_department_metrics,
bed_utilization_rate,float64,Emergency bed utilization rate (%),Monthly,(Beds in Use / Total Beds) * 100,emergency_department_metrics,1,1,1,emergency_department_metrics,
staff_utilization_rate,float64,ED staff utilization rate (%),Monthly,(Staff in Use / Total Staff) * 100,emergency_department_metrics,1,1,1,emergency_department_metrics,
date,object,The reporting month for inpatient metrics,Monthly,None,inpatient_ward_metrics,0,0,1,inpatient_ward_metrics,
ward_id,object,Unique identifier for the ward or unit,Ward,None,inpatient_ward_metrics,0,0,1,inpatient_ward_metrics,
bed_occupancy_rate_monthly,float,Average percentage of beds occupied during the month,Monthly,(Occupied Bed Days / Available Bed Days) * 100,inpatient_ward_metrics,0,0,1,inpatient_ward_metrics,
bed_occupancy_rate_daily,object,Dictionary of daily bed occupancy rates,Daily (nested),"Estimated daily occupancy percentages, may include fractional values due to smoothing or averaging",inpatient_ward_metrics,0,0,1,inpatient_ward_metrics,
avg_length_of_stay_days,float,Average inpatient length of stay in days,Monthly,Total Patient Days / Number of Discharges,inpatient_ward_metrics,0,1,1,inpatient_ward_metrics,
readmission_rate_30d,float,Percentage of patients readmitted within 30 days,Monthly,(30-Day Readmissions / Discharges) * 100,inpatient_ward_metrics,0,0,1,inpatient_ward_metrics,
hai_rate,float,"Healthcare-associated infection rate per 1,000 patient days",Monthly,(HAI Cases / Patient Days) * 1000,inpatient_ward_metrics,0,0,1,inpatient_ward_metrics,
mortality_rate,float,Percentage of inpatient deaths,Monthly,(Inpatient Deaths / Total Admissions) * 100,inpatient_ward_metrics,0,0,1,inpatient_ward_metrics,
